node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3N577	G3Q289	69293.ENSGACP00000000447	69293.ENSGACP00000023988	0	0	0	0	0.054	0.402	0.131	0.387	0.658
G3N5P1	G3QBU5	69293.ENSGACP00000000615	69293.ENSGACP00000027361	0	0	0	0	0.152	0.398	0	0	0.467
G3N5P1	G3NTD6	69293.ENSGACP00000000615	69293.ENSGACP00000008604	0.121	0	0	0	0.245	0	0	0.315	0.505
G3N5P1	G3PLE8	69293.ENSGACP00000000615	69293.ENSGACP00000018429	0	0	0	0	0.211	0	0	0.439	0.538
G3N5P1	G3NXT2	69293.ENSGACP00000000615	69293.ENSGACP00000010152	0	0	0	0	0.221	0	0.621	0	0.692
G3N5P1	G3PP78	69293.ENSGACP00000000615	69293.ENSGACP00000019411	0	0	0.307	0	0.559	0	0	0.151	0.717
G3N5P1	G3PHA5	69293.ENSGACP00000000615	69293.ENSGACP00000016980	0.176	0	0.209	0	0.526	0.726	0.366	0.498	0.966
G3N5P1	G3PDW9	69293.ENSGACP00000000615	69293.ENSGACP00000015793	0	0	0	0	0.770	0.844	0.385	0.229	0.980
G3N5P1	G3PJ10	69293.ENSGACP00000000615	69293.ENSGACP00000017589	0	0	0	0	0.808	0.870	0.505	0.225	0.989
G3N5P1	G3PY18	69293.ENSGACP00000000615	69293.ENSGACP00000022507	0	0	0	0	0.776	0.870	0.371	0.523	0.990
G3N5P1	G3PDV0	69293.ENSGACP00000000615	69293.ENSGACP00000015774	0.201	0	0	0	0.962	0.892	0.621	0.661	0.999
G3N5P1	G3P5V0	69293.ENSGACP00000000615	69293.ENSGACP00000012973	0.287	0	0	0	0.992	0.892	0.621	0.680	0.999
G3N5P1	G3NG11	69293.ENSGACP00000000615	69293.ENSGACP00000004266	0	0	0	0	0.992	0.892	0.621	0.454	0.999
G3N5P1	G3NBG2	69293.ENSGACP00000000615	69293.ENSGACP00000002659	0.201	0	0.295	0	0.992	0.892	0.621	0.387	0.999
G3N5P1	G3NU97	69293.ENSGACP00000000615	69293.ENSGACP00000008915	0	0	0	0	0.990	0.892	0.621	0.735	0.999
G3N5P1	G3Q972	69293.ENSGACP00000000615	69293.ENSGACP00000026436	0.199	0	0	0	0.992	0.892	0.621	0.286	0.999
G3N5P1	G3PT54	69293.ENSGACP00000000615	69293.ENSGACP00000020790	0	0	0	0	0.992	0.892	0.621	0.360	0.999
G3N5P1	G3Q659	69293.ENSGACP00000000615	69293.ENSGACP00000025366	0.287	0	0.207	0	0.992	0.892	0.621	0.686	0.999
G3N5P1	G3PQX4	69293.ENSGACP00000000615	69293.ENSGACP00000020009	0	0	0	0	0.991	0.892	0.621	0.538	0.999
G3N5P1	G3NLJ0	69293.ENSGACP00000000615	69293.ENSGACP00000006203	0	0	0	0	0.992	0.892	0.621	0.433	0.999
G3N5P1	G3NIG2	69293.ENSGACP00000000615	69293.ENSGACP00000005122	0.201	0	0.265	0	0.992	0.892	0.621	0.444	0.999
G3N5P1	G3NHE9	69293.ENSGACP00000000615	69293.ENSGACP00000004757	0	0	0	0	0.992	0.892	0.621	0.441	0.999
G3N5P1	G3NRK0	69293.ENSGACP00000000615	69293.ENSGACP00000007967	0.199	0	0	0	0.962	0.892	0.621	0.358	0.999
G3N5P1	G3PP08	69293.ENSGACP00000000615	69293.ENSGACP00000019341	0.199	0	0	0	0.992	0.892	0.621	0.609	0.999
G3N7Z3	G3P9S4	69293.ENSGACP00000001427	69293.ENSGACP00000014348	0	0	0	0	0.210	0	0.385	0.316	0.638
G3N7Z3	G3NTD6	69293.ENSGACP00000001427	69293.ENSGACP00000008604	0.103	0	0	0	0.498	0.161	0	0.223	0.667
G3N7Z3	G3PLE8	69293.ENSGACP00000001427	69293.ENSGACP00000018429	0.073	0	0	0	0.557	0	0	0.272	0.674
G3N8J1	G3NE33	69293.ENSGACP00000019637	69293.ENSGACP00000003733	0	0.005	0	0	0.157	0.304	0.086	0.077	0.438
G3N8X9	G3PJV6	69293.ENSGACP00000001765	69293.ENSGACP00000017886	0	0	0	0	0.105	0.131	0.146	0.204	0.400
G3N8X9	G3PHA5	69293.ENSGACP00000001765	69293.ENSGACP00000016980	0	0	0	0	0.163	0.112	0.156	0.192	0.425
G3N8X9	G3NXX5	69293.ENSGACP00000001765	69293.ENSGACP00000010195	0	0	0	0.985	0.055	0.420	0	0.066	0.428
G3N8X9	G3NYX9	69293.ENSGACP00000001765	69293.ENSGACP00000010550	0	0	0	0	0.054	0.335	0.119	0.174	0.480
G3N8X9	G3PYA1	69293.ENSGACP00000001765	69293.ENSGACP00000022591	0	0	0	0	0.060	0.334	0.199	0.133	0.507
G3N8X9	G3NSA9	69293.ENSGACP00000001765	69293.ENSGACP00000008226	0	0	0	0	0.050	0.335	0.277	0.054	0.510
G3N8X9	G3PP78	69293.ENSGACP00000001765	69293.ENSGACP00000019411	0	0	0	0	0.054	0.308	0.227	0.212	0.547
G3N8X9	G3P3G8	69293.ENSGACP00000001765	69293.ENSGACP00000012141	0	0	0	0	0.055	0.278	0.227	0.281	0.570
G3N8X9	G3P920	69293.ENSGACP00000001765	69293.ENSGACP00000014094	0	0	0	0	0.048	0.417	0.101	0.276	0.590
G3N8X9	G3Q289	69293.ENSGACP00000001765	69293.ENSGACP00000023988	0	0	0	0	0.054	0.402	0.131	0.387	0.658
G3N8X9	G3NJU3	69293.ENSGACP00000001765	69293.ENSGACP00000005605	0	0	0	0	0.060	0.334	0.366	0.384	0.722
G3NBA2	G3NGV7	69293.ENSGACP00000002598	69293.ENSGACP00000004564	0	0	0	0	0.211	0	0	0.316	0.437
G3NBA2	G3NXQ8	69293.ENSGACP00000002598	69293.ENSGACP00000010128	0	0	0	0	0.237	0	0	0.464	0.573
G3NBA2	G3PQL2	69293.ENSGACP00000002598	69293.ENSGACP00000019897	0	0	0	0	0.653	0	0	0.229	0.721
G3NBA2	G3NYB9	69293.ENSGACP00000002598	69293.ENSGACP00000010339	0	0	0	0	0.688	0	0	0.384	0.799
G3NBA2	G3PM61	69293.ENSGACP00000002598	69293.ENSGACP00000018692	0	0	0	0	0.297	0.744	0	0.128	0.829
G3NBA2	G3NPA2	69293.ENSGACP00000002598	69293.ENSGACP00000007166	0	0	0	0	0.817	0.685	0	0.212	0.950
G3NBA2	G3PPN8	69293.ENSGACP00000002598	69293.ENSGACP00000019573	0	0	0	0	0.179	0.828	0.520	0.526	0.963
G3NBA2	G3NDE4	69293.ENSGACP00000002598	69293.ENSGACP00000003344	0	0	0	0	0.466	0.891	0.621	0.234	0.980
G3NBA2	G3PKP7	69293.ENSGACP00000002598	69293.ENSGACP00000018177	0	0	0	0	0.228	0.889	0.622	0.669	0.987
G3NBG2	G3P3G8	69293.ENSGACP00000002659	69293.ENSGACP00000012141	0	0	0.243	0	0.340	0	0	0.128	0.526
G3NBG2	G3PLE8	69293.ENSGACP00000002659	69293.ENSGACP00000018429	0	0	0	0	0.233	0	0	0.520	0.616
G3NBG2	G3NTD6	69293.ENSGACP00000002659	69293.ENSGACP00000008604	0.086	0	0	0	0.345	0	0	0.456	0.645
G3NBG2	G3PP78	69293.ENSGACP00000002659	69293.ENSGACP00000019411	0	0	0	0	0.709	0	0	0.128	0.735
G3NBG2	G3QBU5	69293.ENSGACP00000002659	69293.ENSGACP00000027361	0	0	0	0	0.617	0	0	0.384	0.753
G3NBG2	G3NXT2	69293.ENSGACP00000002659	69293.ENSGACP00000010152	0	0	0	0	0.468	0.107	0.621	0	0.804
G3NBG2	G3PHA5	69293.ENSGACP00000002659	69293.ENSGACP00000016980	0.103	0	0.209	0	0.770	0.726	0.381	0.549	0.984
G3NBG2	G3PJ10	69293.ENSGACP00000002659	69293.ENSGACP00000017589	0	0	0	0	0.754	0.870	0.507	0.167	0.985
G3NBG2	G3PY18	69293.ENSGACP00000002659	69293.ENSGACP00000022507	0.175	0	0	0	0.770	0.870	0.452	0.261	0.988
G3NBG2	G3PDW9	69293.ENSGACP00000002659	69293.ENSGACP00000015793	0	0	0	0	0.764	0.870	0.497	0.441	0.990
G3NBG2	G3PDV0	69293.ENSGACP00000002659	69293.ENSGACP00000015774	0.186	0	0	0	0.992	0.892	0.621	0.645	0.999
G3NBG2	G3P5V0	69293.ENSGACP00000002659	69293.ENSGACP00000012973	0.201	0	0	0	0.992	0.892	0.621	0.762	0.999
G3NBG2	G3NG11	69293.ENSGACP00000002659	69293.ENSGACP00000004266	0	0	0	0	0.992	0.892	0.621	0.592	0.999
G3NBG2	G3NU97	69293.ENSGACP00000002659	69293.ENSGACP00000008915	0	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NBG2	G3Q972	69293.ENSGACP00000002659	69293.ENSGACP00000026436	0.148	0	0	0	0.992	0.892	0.621	0.739	0.999
G3NBG2	G3PT54	69293.ENSGACP00000002659	69293.ENSGACP00000020790	0	0	0	0	0.992	0.892	0.621	0.713	0.999
G3NBG2	G3Q659	69293.ENSGACP00000002659	69293.ENSGACP00000025366	0.201	0	0.203	0	0.992	0.892	0.621	0.538	0.999
G3NBG2	G3PQX4	69293.ENSGACP00000002659	69293.ENSGACP00000020009	0	0	0	0	0.986	0.892	0.621	0.469	0.999
G3NBG2	G3NLJ0	69293.ENSGACP00000002659	69293.ENSGACP00000006203	0	0	0	0	0.992	0.892	0.621	0.167	0.999
G3NBG2	G3NIG2	69293.ENSGACP00000002659	69293.ENSGACP00000005122	0.186	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NBG2	G3NHE9	69293.ENSGACP00000002659	69293.ENSGACP00000004757	0	0	0	0	0.991	0.892	0.621	0.752	0.999
G3NBG2	G3NRK0	69293.ENSGACP00000002659	69293.ENSGACP00000007967	0.177	0	0	0	0.992	0.892	0.621	0.648	0.999
G3NBG2	G3PP08	69293.ENSGACP00000002659	69293.ENSGACP00000019341	0.148	0	0	0	0.992	0.892	0.621	0.656	0.999
G3NDE4	G3NXQ8	69293.ENSGACP00000003344	69293.ENSGACP00000010128	0	0	0	0	0.320	0	0	0.394	0.570
G3NDE4	G3PQL2	69293.ENSGACP00000003344	69293.ENSGACP00000019897	0	0	0	0	0.809	0	0	0.239	0.848
G3NDE4	G3PM61	69293.ENSGACP00000003344	69293.ENSGACP00000018692	0	0	0	0	0.309	0.726	0.366	0.153	0.884
G3NDE4	G3PPN8	69293.ENSGACP00000003344	69293.ENSGACP00000019573	0	0	0	0	0.055	0.726	0.508	0.322	0.902
G3NDE4	G3NYB9	69293.ENSGACP00000003344	69293.ENSGACP00000010339	0	0	0	0	0.713	0	0	0.690	0.907
G3NDE4	G3NPA2	69293.ENSGACP00000003344	69293.ENSGACP00000007166	0	0	0	0	0.669	0.720	0.363	0.222	0.947
G3NDE4	G3PKP7	69293.ENSGACP00000003344	69293.ENSGACP00000018177	0	0	0	0	0.209	0.890	0.621	0.439	0.979
G3NG11	G3NXT2	69293.ENSGACP00000004266	69293.ENSGACP00000010152	0	0	0	0	0.185	0	0.621	0.094	0.695
G3NG11	G3PHA5	69293.ENSGACP00000004266	69293.ENSGACP00000016980	0	0	0	0	0.596	0.726	0.377	0.068	0.927
G3NG11	G3PDW9	69293.ENSGACP00000004266	69293.ENSGACP00000015793	0	0	0	0	0.770	0.870	0.437	0.416	0.988
G3NG11	G3PY18	69293.ENSGACP00000004266	69293.ENSGACP00000022507	0	0	0	0	0.794	0.870	0.452	0.373	0.989
G3NG11	G3PJ10	69293.ENSGACP00000004266	69293.ENSGACP00000017589	0	0	0	0	0.799	0.870	0.504	0.476	0.992
G3NG11	G3NIG2	69293.ENSGACP00000004266	69293.ENSGACP00000005122	0	0	0	0	0.962	0.892	0.621	0.280	0.998
G3NG11	G3PDV0	69293.ENSGACP00000004266	69293.ENSGACP00000015774	0	0	0	0	0.992	0.892	0.621	0.385	0.999
G3NG11	G3P5V0	69293.ENSGACP00000004266	69293.ENSGACP00000012973	0	0	0	0	0.991	0.892	0.598	0.441	0.999
G3NG11	G3NU97	69293.ENSGACP00000004266	69293.ENSGACP00000008915	0	0	0	0	0.962	0.892	0.541	0.644	0.999
G3NG11	G3Q972	69293.ENSGACP00000004266	69293.ENSGACP00000026436	0	0	0	0	0.992	0.892	0.621	0.136	0.999
G3NG11	G3PT54	69293.ENSGACP00000004266	69293.ENSGACP00000020790	0	0	0	0	0.992	0.892	0.621	0.535	0.999
G3NG11	G3Q659	69293.ENSGACP00000004266	69293.ENSGACP00000025366	0	0	0	0	0.991	0.892	0.568	0.582	0.999
G3NG11	G3PQX4	69293.ENSGACP00000004266	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.655	0.999
G3NG11	G3NLJ0	69293.ENSGACP00000004266	69293.ENSGACP00000006203	0	0	0	0	0.992	0.892	0.621	0.531	0.999
G3NG11	G3NHE9	69293.ENSGACP00000004266	69293.ENSGACP00000004757	0	0	0	0	0.992	0.892	0.621	0.671	0.999
G3NG11	G3NRK0	69293.ENSGACP00000004266	69293.ENSGACP00000007967	0.045	0	0	0	0.992	0.892	0.621	0.082	0.999
G3NG11	G3PP08	69293.ENSGACP00000004266	69293.ENSGACP00000019341	0	0	0	0	0.992	0.892	0.621	0.537	0.999
G3NGV7	G3PHA5	69293.ENSGACP00000004564	69293.ENSGACP00000016980	0	0	0	0	0.078	0.420	0.199	0	0.534
G3NGV7	G3QBL0	69293.ENSGACP00000004564	69293.ENSGACP00000027276	0	0	0	0	0.211	0	0.516	0	0.601
G3NHE9	G3P8Y4	69293.ENSGACP00000004757	69293.ENSGACP00000014058	0	0	0	0	0.462	0	0	0	0.461
G3NHE9	G3PP78	69293.ENSGACP00000004757	69293.ENSGACP00000019411	0	0	0	0	0.469	0	0	0	0.469
G3NHE9	G3NXT2	69293.ENSGACP00000004757	69293.ENSGACP00000010152	0	0	0	0	0.123	0	0.621	0	0.653
G3NHE9	G3PHA5	69293.ENSGACP00000004757	69293.ENSGACP00000016980	0.176	0	0	0	0.516	0.726	0.377	0.379	0.950
G3NHE9	G3PDW9	69293.ENSGACP00000004757	69293.ENSGACP00000015793	0	0	0	0	0.770	0.870	0.385	0.535	0.990
G3NHE9	G3PY18	69293.ENSGACP00000004757	69293.ENSGACP00000022507	0	0	0	0	0.783	0.870	0.371	0.537	0.990
G3NHE9	G3PJ10	69293.ENSGACP00000004757	69293.ENSGACP00000017589	0	0	0	0	0.810	0.870	0.505	0.542	0.993
G3NHE9	G3PDV0	69293.ENSGACP00000004757	69293.ENSGACP00000015774	0	0	0	0	0.991	0.892	0.621	0.688	0.999
G3NHE9	G3P5V0	69293.ENSGACP00000004757	69293.ENSGACP00000012973	0	0	0	0	0.992	0.892	0.621	0.540	0.999
G3NHE9	G3NU97	69293.ENSGACP00000004757	69293.ENSGACP00000008915	0	0	0	0	0.990	0.892	0.621	0.760	0.999
G3NHE9	G3Q972	69293.ENSGACP00000004757	69293.ENSGACP00000026436	0.198	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NHE9	G3PT54	69293.ENSGACP00000004757	69293.ENSGACP00000020790	0	0	0	0	0.992	0.892	0.621	0.284	0.999
G3NHE9	G3Q659	69293.ENSGACP00000004757	69293.ENSGACP00000025366	0	0	0	0	0.992	0.892	0.621	0.675	0.999
G3NHE9	G3PQX4	69293.ENSGACP00000004757	69293.ENSGACP00000020009	0	0	0	0	0.992	0.892	0.621	0.685	0.999
G3NHE9	G3NLJ0	69293.ENSGACP00000004757	69293.ENSGACP00000006203	0	0	0	0	0.992	0.892	0.621	0.529	0.999
G3NHE9	G3NIG2	69293.ENSGACP00000004757	69293.ENSGACP00000005122	0.201	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NHE9	G3NRK0	69293.ENSGACP00000004757	69293.ENSGACP00000007967	0	0	0	0	0.991	0.892	0.621	0.655	0.999
G3NHE9	G3PP08	69293.ENSGACP00000004757	69293.ENSGACP00000019341	0	0	0	0	0.992	0.892	0.621	0.721	0.999
G3NIG2	G3QCC3	69293.ENSGACP00000005122	69293.ENSGACP00000027539	0	0	0	0	0.054	0.312	0.175	0	0.416
G3NIG2	G3QBU5	69293.ENSGACP00000005122	69293.ENSGACP00000027361	0	0	0	0	0.164	0.333	0	0.051	0.424
G3NIG2	G3NTD6	69293.ENSGACP00000005122	69293.ENSGACP00000008604	0	0	0	0	0.309	0	0	0.222	0.439
G3NIG2	G3PP78	69293.ENSGACP00000005122	69293.ENSGACP00000019411	0	0	0	0	0.634	0	0.066	0.128	0.675
G3NIG2	G3NXT2	69293.ENSGACP00000005122	69293.ENSGACP00000010152	0	0	0	0	0.183	0.584	0.621	0.132	0.873
G3NIG2	G3PHA5	69293.ENSGACP00000005122	69293.ENSGACP00000016980	0.103	0	0	0	0.333	0.726	0.385	0.277	0.913
G3NIG2	G3PJ10	69293.ENSGACP00000005122	69293.ENSGACP00000017589	0	0	0	0	0.711	0.870	0.507	0.533	0.990
G3NIG2	G3PDW9	69293.ENSGACP00000005122	69293.ENSGACP00000015793	0	0	0	0	0.770	0.870	0.507	0.538	0.992
G3NIG2	G3PY18	69293.ENSGACP00000005122	69293.ENSGACP00000022507	0	0	0	0	0.770	0.870	0.506	0.541	0.992
G3NIG2	G3NLJ0	69293.ENSGACP00000005122	69293.ENSGACP00000006203	0	0	0	0	0.962	0.892	0.621	0.241	0.998
G3NIG2	G3PDV0	69293.ENSGACP00000005122	69293.ENSGACP00000015774	0.186	0	0	0	0.912	0.892	0.621	0.720	0.999
G3NIG2	G3P5V0	69293.ENSGACP00000005122	69293.ENSGACP00000012973	0.201	0	0	0	0.992	0.892	0.621	0.706	0.999
G3NIG2	G3NU97	69293.ENSGACP00000005122	69293.ENSGACP00000008915	0.041	0	0	0	0.989	0.892	0.621	0.760	0.999
G3NIG2	G3Q972	69293.ENSGACP00000005122	69293.ENSGACP00000026436	0.148	0	0	0	0.992	0.892	0.622	0.717	0.999
G3NIG2	G3PT54	69293.ENSGACP00000005122	69293.ENSGACP00000020790	0	0	0	0	0.990	0.892	0.621	0.229	0.999
G3NIG2	G3Q659	69293.ENSGACP00000005122	69293.ENSGACP00000025366	0.201	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NIG2	G3PQX4	69293.ENSGACP00000005122	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.539	0.999
G3NIG2	G3NRK0	69293.ENSGACP00000005122	69293.ENSGACP00000007967	0.176	0	0	0	0.962	0.892	0.621	0.737	0.999
G3NIG2	G3PP08	69293.ENSGACP00000005122	69293.ENSGACP00000019341	0.105	0	0	0	0.990	0.892	0.621	0.275	0.999
G3NJU3	G3Q393	69293.ENSGACP00000005605	69293.ENSGACP00000024345	0	0	0	0	0	0.306	0	0.219	0.434
G3NJU3	G3PP62	69293.ENSGACP00000005605	69293.ENSGACP00000019395	0	0	0	0	0.050	0	0	0.434	0.439
G3NJU3	G3NS10	69293.ENSGACP00000005605	69293.ENSGACP00000008127	0	0	0	0	0.060	0.334	0.123	0.110	0.445
G3NJU3	G3PVK4	69293.ENSGACP00000005605	69293.ENSGACP00000021643	0	0	0	0	0.055	0	0.416	0.139	0.483
G3NJU3	G3Q3X8	69293.ENSGACP00000005605	69293.ENSGACP00000024582	0	0	0	0	0.055	0	0.416	0.139	0.483
G3NJU3	G3NXX5	69293.ENSGACP00000005605	69293.ENSGACP00000010195	0	0	0	0	0.060	0.334	0.315	0.152	0.587
G3NJU3	G3NSA9	69293.ENSGACP00000005605	69293.ENSGACP00000008226	0	0	0	0	0.054	0	0.621	0.041	0.626
G3NLJ0	G3PP78	69293.ENSGACP00000006203	69293.ENSGACP00000019411	0	0	0	0	0.471	0	0	0.402	0.670
G3NLJ0	G3NXT2	69293.ENSGACP00000006203	69293.ENSGACP00000010152	0	0	0	0	0.166	0	0.621	0.049	0.673
G3NLJ0	G3PHA5	69293.ENSGACP00000006203	69293.ENSGACP00000016980	0	0	0	0	0.763	0.726	0.366	0.059	0.956
G3NLJ0	G3PJ10	69293.ENSGACP00000006203	69293.ENSGACP00000017589	0	0	0	0	0.800	0.870	0.507	0.335	0.990
G3NLJ0	G3PDW9	69293.ENSGACP00000006203	69293.ENSGACP00000015793	0	0	0	0	0.770	0.870	0.493	0.434	0.990
G3NLJ0	G3PY18	69293.ENSGACP00000006203	69293.ENSGACP00000022507	0	0	0	0	0.784	0.870	0.452	0.761	0.995
G3NLJ0	G3NRK0	69293.ENSGACP00000006203	69293.ENSGACP00000007967	0	0	0	0	0.962	0.892	0.621	0.389	0.998
G3NLJ0	G3PDV0	69293.ENSGACP00000006203	69293.ENSGACP00000015774	0	0	0	0	0.991	0.892	0.621	0.435	0.999
G3NLJ0	G3P5V0	69293.ENSGACP00000006203	69293.ENSGACP00000012973	0	0	0	0	0.992	0.892	0.621	0.065	0.999
G3NLJ0	G3NU97	69293.ENSGACP00000006203	69293.ENSGACP00000008915	0	0	0	0	0.992	0.892	0.621	0.387	0.999
G3NLJ0	G3Q972	69293.ENSGACP00000006203	69293.ENSGACP00000026436	0	0	0	0	0.992	0.892	0.621	0.460	0.999
G3NLJ0	G3PT54	69293.ENSGACP00000006203	69293.ENSGACP00000020790	0	0	0	0	0.992	0.892	0.621	0.237	0.999
G3NLJ0	G3Q659	69293.ENSGACP00000006203	69293.ENSGACP00000025366	0	0	0	0	0.992	0.892	0.621	0.441	0.999
G3NLJ0	G3PQX4	69293.ENSGACP00000006203	69293.ENSGACP00000020009	0	0	0	0	0.992	0.892	0.621	0.693	0.999
G3NLJ0	G3PP08	69293.ENSGACP00000006203	69293.ENSGACP00000019341	0	0	0	0	0.992	0.892	0.621	0.719	0.999
G3NPA2	G3NTD6	69293.ENSGACP00000007166	69293.ENSGACP00000008604	0	0	0	0	0.156	0	0	0.538	0.593
G3NPA2	G3PKP7	69293.ENSGACP00000007166	69293.ENSGACP00000018177	0	0	0	0	0.209	0.147	0.468	0.066	0.619
G3NPA2	G3PLE8	69293.ENSGACP00000007166	69293.ENSGACP00000018429	0	0	0	0	0.474	0	0	0.587	0.773
G3NPA2	G3NYB9	69293.ENSGACP00000007166	69293.ENSGACP00000010339	0	0	0	0	0.761	0	0	0.167	0.792
G3NPA2	G3PPN8	69293.ENSGACP00000007166	69293.ENSGACP00000019573	0	0	0	0	0.118	0.614	0.365	0.396	0.851
G3NPA2	G3PQL2	69293.ENSGACP00000007166	69293.ENSGACP00000019897	0	0	0	0	0.818	0	0	0.229	0.853
G3NPA2	G3NXQ8	69293.ENSGACP00000007166	69293.ENSGACP00000010128	0	0	0	0	0.819	0.684	0	0.526	0.970
G3NPA2	G3PM61	69293.ENSGACP00000007166	69293.ENSGACP00000018692	0	0	0	0	0.721	0.726	0.520	0.624	0.984
G3NRK0	G3QBU5	69293.ENSGACP00000007967	69293.ENSGACP00000027361	0	0	0	0	0.208	0.314	0	0	0.433
G3NRK0	G3QCC3	69293.ENSGACP00000007967	69293.ENSGACP00000027539	0	0	0	0	0.073	0.320	0.175	0	0.434
G3NRK0	G3P3G8	69293.ENSGACP00000007967	69293.ENSGACP00000012141	0	0	0	0	0.523	0.068	0	0.128	0.578
G3NRK0	G3P6S6	69293.ENSGACP00000007967	69293.ENSGACP00000013300	0	0	0	0	0.140	0.182	0	0.499	0.616
G3NRK0	G3PP78	69293.ENSGACP00000007967	69293.ENSGACP00000019411	0	0	0	0	0.691	0	0	0.128	0.719
G3NRK0	G3PLE8	69293.ENSGACP00000007967	69293.ENSGACP00000018429	0	0	0	0	0.544	0.359	0.042	0.435	0.820
G3NRK0	G3NXT2	69293.ENSGACP00000007967	69293.ENSGACP00000010152	0	0	0	0	0.211	0.601	0.621	0.218	0.894
G3NRK0	G3PHA5	69293.ENSGACP00000007967	69293.ENSGACP00000016980	0.092	0	0	0	0.769	0.726	0.366	0.493	0.978
G3NRK0	G3PJ10	69293.ENSGACP00000007967	69293.ENSGACP00000017589	0	0	0	0	0.689	0.870	0.505	0.527	0.989
G3NRK0	G3PDW9	69293.ENSGACP00000007967	69293.ENSGACP00000015793	0	0	0	0	0.770	0.870	0.499	0.503	0.991
G3NRK0	G3PY18	69293.ENSGACP00000007967	69293.ENSGACP00000022507	0	0	0	0	0.770	0.870	0.507	0.588	0.993
G3NRK0	G3PQX4	69293.ENSGACP00000007967	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.269	0.998
G3NRK0	G3PDV0	69293.ENSGACP00000007967	69293.ENSGACP00000015774	0.126	0	0	0	0.992	0.892	0.621	0.705	0.999
