queryIndex	queryItem	stringId	preferredName	annotation
35	G3NXQ8	69293.ENSGACP00000010128	ENSGACG00000007599	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1
36	G3NXT2	69293.ENSGACP00000010152	EIF3C	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
37	G3NXX5	69293.ENSGACP00000010195	ENSGACG00000007661	Actin, alpha, cardiac muscle 1; Belongs to the actin family
38	G3NYB9	69293.ENSGACP00000010339	ENSGACG00000007796	annotation not available
39	G3NYX9	69293.ENSGACP00000010550	ENSGACG00000007959	Lymphocyte cytosolic plastin 1
41	G3P2D0	69293.ENSGACP00000011753	ENSGACG00000008905	Glutaredoxin (thioltransferase)
42	G3P3G8	69293.ENSGACP00000012141	ENSGACG00000009066	T-complex 1; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
46	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
47	G3P6S6	69293.ENSGACP00000013300	ENSGACG00000010067	Heat shock protein 90, beta (grp94), member 1
49	G3P8Y4	69293.ENSGACP00000014058	ENSGACG00000010631	Histidine triad nucleotide binding protein 1
50	G3P920	69293.ENSGACP00000014094	ENSGACG00000010634	annotation not available
51	G3P9S4	69293.ENSGACP00000014348	ENSGACG00000010827	Isocitrate dehydrogenase 2 (NADP+), mitochondrial; Belongs to the isocitrate and isopropylmalate dehydrogenases family
53	G3PDV0	69293.ENSGACP00000015774	ENSGACG00000011905	Ribosomal protein S2; Belongs to the universal ribosomal protein uS5 family
54	G3PDW9	69293.ENSGACP00000015793	ENSGACG00000011934	Ribosomal protein S27, isoform 2
56	G3PFE7	69293.ENSGACP00000016321	ENSGACG00000012351	PYD and CARD domain containing
57	G3PHA5	69293.ENSGACP00000016980	ENSGACG00000012793	Uncharacterized protein; Eukaryotic translation elongation factor 2a, tandem duplicate 2
59	G3PIX9	69293.ENSGACP00000017558	ENSGACG00000013283	ER lipid raft associated 2
60	G3PJ10	69293.ENSGACP00000017589	ENSGACG00000013304	Ribosomal protein L22
61	G3PJV6	69293.ENSGACP00000017886	HSP90AB1	Heat shock protein 90kDa alpha (cytosolic), class B member 1
62	G3PKP7	69293.ENSGACP00000018177	ENSGACG00000013731	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
63	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
65	G3PM61	69293.ENSGACP00000018692	ENSGACG00000014155	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
66	G3PP08	69293.ENSGACP00000019341	ENSGACG00000014635	Ribosomal protein L27; Belongs to the eukaryotic ribosomal protein eL27 family
67	G3PP62	69293.ENSGACP00000019395	ENSGACG00000014689	Uncharacterized protein; Keratin, type 1, gene 19d; Belongs to the intermediate filament family
68	G3PP78	69293.ENSGACP00000019411	CCT2	Chaperonin containing TCP1 subunit 2; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
69	G3PPN8	69293.ENSGACP00000019573	ENSGACG00000014821	NADH dehydrogenase (ubiquinone) Fe-S protein 1; Belongs to the complex I 75 kDa subunit family
70	G3PPP6	69293.ENSGACP00000019581	ENSGACG00000014828	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
71	G3PQL2	69293.ENSGACP00000019897	ENSGACG00000015085	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
72	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
73	G3PSB5	69293.ENSGACP00000020501	ENSGACG00000015542	annotation not available
74	G3PSB6	69293.ENSGACP00000020502	ENSGACG00000015545	Hyaluronan and proteoglycan link protein 1b
75	G3PT54	69293.ENSGACP00000020790	ENSGACG00000015752	Ribosomal protein L13; Belongs to the eukaryotic ribosomal protein eL13 family
76	G3PVG3	69293.ENSGACP00000021600	ENSGACG00000016363	Transmembrane emp24 protein transport domain containing 9
77	G3PVK4	69293.ENSGACP00000021643	ENSGACG00000016368	Talin 2a
78	G3PY18	69293.ENSGACP00000022507	ENSGACG00000017042	Ribosomal protein S17
81	G3PYA1	69293.ENSGACP00000022591	ENSGACG00000017102	annotation not available
82	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
84	G3Q289	69293.ENSGACP00000023988	ENSGACG00000018150	Gelsolin a
85	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
86	G3Q393	69293.ENSGACP00000024345	ENSGACG00000018404	Spectrin alpha 2
87	G3Q3A5	69293.ENSGACP00000024357	ENSGACG00000018427	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
88	G3Q3X8	69293.ENSGACP00000024582	ENSGACG00000018584	Talin 1
89	G3Q3Z6	69293.ENSGACP00000024600	ENSGACG00000018609	Clathrin light chain; Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
90	G3Q4Z0	69293.ENSGACP00000024944	ENSGACG00000018863	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
91	G3Q659	69293.ENSGACP00000025366	ENSGACG00000019181	Ribosomal protein S15a; Belongs to the universal ribosomal protein uS8 family
92	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
93	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
94	G3QAJ2	69293.ENSGACP00000026908	ENSGACG00000020358	Transgelin 2; Belongs to the calponin family
97	G3QBL0	69293.ENSGACP00000027276	ENSGACG00000020621	Serine/arginine-rich splicing factor 1b
98	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
99	G3QCC3	69293.ENSGACP00000027539	ENSGACG00000020830	Heterogeneous nuclear ribonucleoprotein A/Ba
100	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
