clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	15	G3QCM9	69293.ENSGACP00000027645	Ribosomal protein S14; Belongs to the universal ribosomal protein uS11 family
MCL	2	Brown	10	G3NB21	69293.ENSGACP00000002517	Zgc:86599; Cytochrome c oxidase subunit Vb
MCL	2	Brown	10	G3NL81	69293.ENSGACP00000006094	NADH dehydrogenase (ubiquinone) Fe-S protein 4, (NADH-coenzyme Q reductase)
MCL	2	Brown	10	G3NW63	69293.ENSGACP00000009582	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
MCL	2	Brown	10	G3NXQ8	69293.ENSGACP00000010128	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1
MCL	2	Brown	10	G3NYB9	69293.ENSGACP00000010339	annotation not available
MCL	2	Brown	10	G3P1C3	69293.ENSGACP00000011396	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7
MCL	2	Brown	10	G3P4Q3	69293.ENSGACP00000012576	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9; Belongs to the complex I LYR family
MCL	2	Brown	10	G3P594	69293.ENSGACP00000012767	annotation not available
MCL	2	Brown	10	G3P8F3	69293.ENSGACP00000013877	Cytochrome c oxidase subunit; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport
MCL	2	Brown	10	G3PKP7	69293.ENSGACP00000018177	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
MCL	3	Dark Golden Rod	8	G3NGV7	69293.ENSGACP00000004564	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
MCL	3	Dark Golden Rod	8	G3P4B9	69293.ENSGACP00000012442	Heterogeneous nuclear ribonucleoprotein A1a
MCL	3	Dark Golden Rod	8	G3PAP2	69293.ENSGACP00000014666	Serine/arginine-rich splicing factor 1a
MCL	3	Dark Golden Rod	8	G3PJ42	69293.ENSGACP00000017621	Aly/REF export factor
MCL	3	Dark Golden Rod	8	G3PR19	69293.ENSGACP00000020054	annotation not available
MCL	3	Dark Golden Rod	8	G3PZX4	69293.ENSGACP00000023164	Small nuclear ribonucleoprotein D3 polypeptide
MCL	3	Dark Golden Rod	8	G3Q616	69293.ENSGACP00000025322	DEAD (Asp-Glu-Ala-Asp) box helicase 17
MCL	3	Dark Golden Rod	8	G3QCC3	69293.ENSGACP00000027539	Heterogeneous nuclear ribonucleoprotein A/Ba
MCL	4	Green Yellow	5	G3NB07	69293.ENSGACP00000002503	Drebrin-like a
MCL	4	Green Yellow	5	G3NDS5	69293.ENSGACP00000003475	Cap1 CAP, adenylate cyclase-associated protein 1; Belongs to the CAP family
MCL	4	Green Yellow	5	G3NS10	69293.ENSGACP00000008127	Actin, alpha, cardiac muscle 1a; Belongs to the actin family
MCL	4	Green Yellow	5	G3NYX9	69293.ENSGACP00000010550	Lymphocyte cytosolic plastin 1
MCL	4	Green Yellow	5	G3PAZ5	69293.ENSGACP00000014769	Drebrin-like b
MCL	5	Lime Green	3	G3NNI9	69293.ENSGACP00000006903	Collagen, type I, alpha 1a
MCL	5	Lime Green	3	G3PTQ9	69293.ENSGACP00000020995	Procollagen, type V, alpha 1
MCL	5	Lime Green	3	G3PWU7	69293.ENSGACP00000022086	Collagen, type XI, alpha 1b
MCL	6	Light Green	3	G3NK83	69293.ENSGACP00000005745	Peptidylprolyl isomerase; FK506 binding protein 1Ab
MCL	6	Light Green	3	G3P8Y4	69293.ENSGACP00000014058	Histidine triad nucleotide binding protein 1
MCL	6	Light Green	3	G3QBE9	69293.ENSGACP00000027215	Superoxide dismutase [Cu-Zn]; Destroys radicals which are normally produced within the cells and which are toxic to biological systems; Belongs to the Cu-Zn superoxide dismutase family
MCL	7	Green	3	G3P8K6	69293.ENSGACP00000013930	Heat shock 70kDa protein 8
MCL	7	Green	3	G3QA18	69293.ENSGACP00000026734	Heat shock protein, alpha-crystallin-related, 1; Belongs to the small heat shock protein (HSP20) family
MCL	7	Green	3	G3QA72	69293.ENSGACP00000026788	Stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)
MCL	8	Cyan	3	G3PJ29	69293.ENSGACP00000017608	Rho GDP dissociation inhibitor (GDI) alpha
MCL	8	Cyan	3	G3PPX6	69293.ENSGACP00000019661	Radixin
MCL	8	Cyan	3	G3Q6S8	69293.ENSGACP00000025588	Rab GDP dissociation inhibitor; Regulates the GDP/GTP exchange reaction of most RAB proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP
MCL	9	Blue	2	G3N517	69293.ENSGACP00000000387	annotation not available
MCL	9	Blue	2	G3NJR4	69293.ENSGACP00000005576	Troponin I4b, tandem duplicate 2; Troponin I, skeletal, slow like
MCL	10	Purple	2	G3N6H3	69293.ENSGACP00000000898	Zgc:153867; Myosin, light chain 6, alkali, smooth muscle and non-muscle
MCL	10	Purple	2	G3P0D8	69293.ENSGACP00000011061	Troponin I type 2a (skeletal, fast), tandem duplicate 4; Troponin I type 2 (skeletal, fast)
MCL	11	Pink	2	G3PXB8	69293.ENSGACP00000022257	GTPase activating protein (SH3 domain) binding protein 1
MCL	11	Pink	2	G3PZ70	69293.ENSGACP00000022910	GTPase activating protein (SH3 domain) binding protein 2
