clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	3	Dark Golden Rod	7	G3PZK8	69293.ENSGACP00000023048	IQ motif containing GTPase activating protein 1
MCL	4	Green Yellow	5	G3PC16	69293.ENSGACP00000015140	High-mobility group box 1b
MCL	4	Green Yellow	5	G3PUL8	69293.ENSGACP00000021305	Proteasome (prosome, macropain) 26S subunit, ATPase, 3
MCL	4	Green Yellow	5	G3PVY2	69293.ENSGACP00000021771	High-mobility group box 2a
MCL	4	Green Yellow	5	G3Q162	69293.ENSGACP00000023610	Macrophage migration inhibitory factor
MCL	4	Green Yellow	5	G3Q3A5	69293.ENSGACP00000024357	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
MCL	5	Green 2	4	G3NY15	69293.ENSGACP00000010235	Niemann-Pick disease, type C2
MCL	5	Green 2	4	G3P5J3	69293.ENSGACP00000012866	Angiotensinogen; Belongs to the serpin family
MCL	5	Green 2	4	G3PYU1	69293.ENSGACP00000022781	Cathepsin D; Belongs to the peptidase A1 family
MCL	5	Green 2	4	G3Q2Y3	69293.ENSGACP00000024232	Junction plakoglobin a
MCL	6	Green	3	G3NEJ2	69293.ENSGACP00000003743	LIM domain binding 3b
MCL	6	Green	3	G3PVK9	69293.ENSGACP00000021648	Alpha-tropomyosin; Belongs to the tropomyosin family
MCL	6	Green	3	G3PXF9	69293.ENSGACP00000022298	Tropomyosin 4; Belongs to the tropomyosin family
MCL	7	Blue	2	G3NZN3	69293.ENSGACP00000010806	Myosin, light chain 9b, regulatory
MCL	7	Blue	2	G3QAJ2	69293.ENSGACP00000026908	Transgelin 2; Belongs to the calponin family
MCL	8	Light Sky Blue	2	G3NNM8	69293.ENSGACP00000006942	Alpha-2-macroglobulin-like 1
MCL	8	Light Sky Blue	2	G3NX96	69293.ENSGACP00000009965	annotation not available
MCL	9	Medium Blue	2	G3NY67	69293.ENSGACP00000010287	BUD31 homolog (yeast)
MCL	9	Medium Blue	2	G3PXM2	69293.ENSGACP00000022361	Serine/arginine-rich splicing factor 9
MCL	10	Purple	2	G3P3A2	69293.ENSGACP00000012075	Synaptotagmin binding, cytoplasmic RNA interacting protein, like
MCL	10	Purple	2	G3PIX9	69293.ENSGACP00000017558	ER lipid raft associated 2
