queryIndex	queryItem	stringId	preferredName	annotation
30	G3NRK0	69293.ENSGACP00000007967	RPSA	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
32	G3NU97	69293.ENSGACP00000008915	ENSGACG00000006703	Ribosomal protein S13; Belongs to the universal ribosomal protein uS15 family
33	G3NUM7	69293.ENSGACP00000009045	ENSGACG00000006818	Ribosomal protein S25
34	G3NW63	69293.ENSGACP00000009582	ENSGACG00000007237	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
35	G3NX96	69293.ENSGACP00000009965	ENSGACG00000007507	annotation not available
36	G3NXW0	69293.ENSGACP00000010180	ENSGACG00000007663	ST13, Hsp70 interacting protein; Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
37	G3NY15	69293.ENSGACP00000010235	ENSGACG00000007718	Niemann-Pick disease, type C2
38	G3NY67	69293.ENSGACP00000010287	ENSGACG00000007759	BUD31 homolog (yeast)
39	G3NYB9	69293.ENSGACP00000010339	ENSGACG00000007796	annotation not available
41	G3NZH1	69293.ENSGACP00000010744	ENSGACG00000008115	Transglutaminase 2b
42	G3NZN3	69293.ENSGACP00000010806	ENSGACG00000008160	Myosin, light chain 9b, regulatory
44	G3P1D2	69293.ENSGACP00000011405	ENSGACG00000008630	N(alpha)-acetyltransferase 10, NatA catalytic subunit
45	G3P3A2	69293.ENSGACP00000012075	ENSGACG00000009124	Synaptotagmin binding, cytoplasmic RNA interacting protein, like
46	G3P5J3	69293.ENSGACP00000012866	ENSGACG00000009742	Angiotensinogen; Belongs to the serpin family
47	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
48	G3P6R2	69293.ENSGACP00000013285	ENSGACG00000009964	Transketolase b
49	G3P846	69293.ENSGACP00000013770	ENSGACG00000010398	Translocase of inner mitochondrial membrane 13 homolog (yeast); Belongs to the small Tim family
50	G3P8F3	69293.ENSGACP00000013877	ENSGACG00000010502	Cytochrome c oxidase subunit; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport
51	G3P920	69293.ENSGACP00000014094	ENSGACG00000010634	annotation not available
53	G3PC16	69293.ENSGACP00000015140	ENSGACG00000011447	High-mobility group box 1b
55	G3PDR7	69293.ENSGACP00000015741	ENSGACG00000011899	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10
56	G3PDV0	69293.ENSGACP00000015774	ENSGACG00000011905	Ribosomal protein S2; Belongs to the universal ribosomal protein uS5 family
57	G3PGM9	69293.ENSGACP00000016753	ENSGACG00000012646	Echinoderm microtubule associated protein like 2
60	G3PIX9	69293.ENSGACP00000017558	ENSGACG00000013283	ER lipid raft associated 2
61	G3PJ29	69293.ENSGACP00000017608	ENSGACG00000013298	Rho GDP dissociation inhibitor (GDI) alpha
62	G3PJH2	69293.ENSGACP00000017752	C18orf32	Ribosomal protein L17; Chromosome 18 open reading frame 32; Belongs to the universal ribosomal protein uL22 family
63	G3PKP7	69293.ENSGACP00000018177	ENSGACG00000013731	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
64	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
66	G3PM61	69293.ENSGACP00000018692	ENSGACG00000014155	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
67	G3PNK3	69293.ENSGACP00000019186	ENSGACG00000014542	annotation not available
68	G3PP08	69293.ENSGACP00000019341	ENSGACG00000014635	Ribosomal protein L27; Belongs to the eukaryotic ribosomal protein eL27 family
69	G3PPP6	69293.ENSGACP00000019581	ENSGACG00000014828	Lactoylglutathione lyase; Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione
70	G3PPP7	69293.ENSGACP00000019582	ENSGACG00000014831	Uncharacterized protein; Si:dkey-4e7.3
71	G3PQL2	69293.ENSGACP00000019897	ENSGACG00000015085	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
72	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
73	G3PT54	69293.ENSGACP00000020790	ENSGACG00000015752	Ribosomal protein L13; Belongs to the eukaryotic ribosomal protein eL13 family
74	G3PUL8	69293.ENSGACP00000021305	ENSGACG00000016150	Proteasome (prosome, macropain) 26S subunit, ATPase, 3
75	G3PVK9	69293.ENSGACP00000021648	ENSGACG00000016394	Alpha-tropomyosin; Belongs to the tropomyosin family
76	G3PVY2	69293.ENSGACP00000021771	ENSGACG00000016482	High-mobility group box 2a
77	G3PXF9	69293.ENSGACP00000022298	ENSGACG00000016865	Tropomyosin 4; Belongs to the tropomyosin family
78	G3PXM2	69293.ENSGACP00000022361	ENSGACG00000016921	Serine/arginine-rich splicing factor 9
80	G3PYA1	69293.ENSGACP00000022591	ENSGACG00000017102	annotation not available
81	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
82	G3PZH5	69293.ENSGACP00000023015	ENSGACG00000017417	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
83	G3PZK8	69293.ENSGACP00000023048	ENSGACG00000017438	IQ motif containing GTPase activating protein 1
85	G3Q162	69293.ENSGACP00000023610	ENSGACG00000017868	Macrophage migration inhibitory factor
86	G3Q163	69293.ENSGACP00000023611	ENSGACG00000017861	Ribosomal protein S6; Belongs to the eukaryotic ribosomal protein eS6 family
87	G3Q2D6	69293.ENSGACP00000024035	ENSGACG00000018187	Ubiquinol-cytochrome c reductase, complex III subunit VII
88	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
89	G3Q3A5	69293.ENSGACP00000024357	ENSGACG00000018427	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
90	G3Q3C4	69293.ENSGACP00000024376	ENSGACG00000018439	Ribosomal protein L26
91	G3Q3Z6	69293.ENSGACP00000024600	ENSGACG00000018609	Clathrin light chain; Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
94	G3Q486	69293.ENSGACP00000024690	ATP5H	ATP synthase subunit d, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the cent [...] 
95	G3Q659	69293.ENSGACP00000025366	ENSGACG00000019181	Ribosomal protein S15a; Belongs to the universal ribosomal protein uS8 family
96	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
97	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
98	G3QAJ2	69293.ENSGACP00000026908	ENSGACG00000020358	Transgelin 2; Belongs to the calponin family
100	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
